LandmarkID,Name,Functn,Structure,EditBy,EditDate,Location 1,EditState
7000966,Cedar Works at Rocketts Landing,1000: Residence or accommodation functions,2612: Mill-type factory structures,georgeae,09/05/2007 01:22:19 PM,"(37.51580958, -77.41434248)",complete
7000220,Cedar Street Memorial Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 01:14:36 PM,"(37.53658346, -77.4162217199999)",complete
7000225,Carlisle Avenue Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 01:13:22 PM,"(37.51887219, -77.39035662)",complete
7000586,Hartshorn Hall,1320: Rooming and boarding,1320: Dormitories,georgeae,08/27/2007 01:52:01 PM,"(37.56297261, -77.45043114)",complete
7001597,C F Sauer Spice Factory,"3100: Food, textiles, and related products",2612: Mill-type factory structures,georgeae,09/05/2007 01:02:24 PM,"(37.5573327099999, -77.46049781)",complete
7000397,Bible Way Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 01:01:38 PM,"(37.5577159899999, -77.4345876499999)",complete
7000154,Beulah Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 01:00:53 PM,"(37.4856390699999, -77.4415962399999)",complete
7000558,Bethlehem Lutheran Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 12:41:36 PM,"(37.5522426499999, -77.45456265)",complete
7001432,Lingle Hall,"2135: Books, magazines, music, stationery",4220: College or university facility,georgeae,09/05/2007 12:40:36 PM,"(37.5793382199999, -77.45067421)",complete
7001433,Josephine Newbury Center for Childhood Education,6100: Educational services,4200: School or university buildings,georgeae,09/05/2007 12:28:25 PM,"(37.5799224599999, -77.4507435099999)",complete
7000135,Phillip Morris Leaf Tobacco Plant,,,georgeae,09/05/2007 12:13:23 PM,"(37.47104573, -77.4334569899999)",incomplete
7001943,Bethlehem Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 12:12:01 PM,"(37.5432855, -77.41504965)",complete
7000564,Belmont United Methodist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 12:07:59 PM,"(37.4686058699999, -77.48684833)",complete
7001606,Barker Field,"5000: Arts, entertainment, and recreation",6980: Other installed recreational or athletic equipment,georgeae,09/05/2007 12:06:53 PM,"(37.53912642, -77.4818563399999)",needs research
7000260,Battery Park Christian Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 12:06:33 PM,"(37.59146366, -77.45180331)",complete
7000435,Baptist General Convention of Virginia,6600: Religious institutions,2100: Office or bank building,georgeae,09/05/2007 12:05:18 PM,"(37.56462907, -77.4512039399999)",complete
7000972,American Tobacco Building,1000: Residence or accommodation functions,2611: Loft building,georgeae,09/05/2007 11:59:36 AM,"(37.5331831299999, -77.4239888099999)",complete
7000389,All Saints Reformed Presbyterian,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 11:36:30 AM,"(37.55607561, -77.47706049)",complete
7001564,Acca Temple,"6830: Civic, social, and fraternal organizations",3000: Public assembly structures,georgeae,09/05/2007 11:35:45 AM,"(37.59171277, -77.46673649)",complete
7000301,6th Street Marketplace,2100: Retail sales or service,"2570: Theme or festival center (leisure, tourist-oriented, restaurants)",georgeae,09/05/2007 11:34:35 AM,"(37.54347002, -77.43556336)",needs research
7000664,Richmond Dairy Apartments,1000: Residence or accommodation functions,2610: Light industrial structures and facilities,georgeae,09/05/2007 11:34:10 AM,"(37.54758331, -77.44356451)",complete
7000640,Coliseum Lofts,1000: Residence or accommodation functions,1200: Multifamily structures,georgeae,09/05/2007 11:33:33 AM,"(37.55334251, -77.4555603299999)",complete
7001416,Iron House Place,1000: Residence or accommodation functions,2000: Commercial buildings and other specialized structures,georgeae,09/05/2007 11:33:16 AM,"(37.5530272299999, -77.4549074499999)",complete
7001577,Richmond Memorial Hospital,1000: Residence or accommodation functions,4110: Hospital building,georgeae,09/05/2007 11:32:28 AM,"(37.57883306, -77.45428789)",needs research
7001429,Laburnum House,,1000: Residential buildings,georgeae,09/05/2007 11:30:52 AM,"(37.5791937999999, -77.45374791)",needs research
7000124,Bill Robinson Community Center,,,georgeae,09/05/2007 11:28:08 AM,"(37.5305252499999, -77.4045314499999)",needs research
7000982,Maymont Carriage House,5200: Museums and other special purpose recreational institutions,1130: Accessory units,georgeae,09/05/2007 11:27:46 AM,"(37.5342322999999, -77.47619043)",needs research
7000983,Maymont Stone Barn,2421: Office and administrative services,"8000: Sheds, farm buildings, or agricultural facilities",georgeae,09/05/2007 11:27:23 AM,"(37.5339702599999, -77.4753694399999)",complete
7000984,Maymont Mausoleum,,"4700: Cemetery, monument, tombstone, or mausoleum",georgeae,09/05/2007 11:26:13 AM,"(37.53411398, -77.4794006399999)",needs research
7000095,Maymont House,5210: Museum,1100: Single-family buildings,georgeae,09/05/2007 11:24:16 AM,"(37.53439354, -77.4782469099999)",complete
7001421,Westminster Hall,6130: Colleges and Universities,4220: College or university facility,georgeae,09/05/2007 11:15:23 AM,"(37.5793678699999, -77.4491538399999)",complete
7001411,Vistas on the James,1000: Residence or accommodation functions,1200: Multifamily structures,georgeae,09/05/2007 11:09:39 AM,"(37.5327202499999, -77.4334160899999)",needs research
